,node_id,ip_addr
160,N43012852,"[nan, '216.106.218.183', nan, nan, nan, nan, nan, nan, nan, nan]"
161,N43112367,"[nan, '208.53.210.205', nan, nan, nan, nan, nan, nan, nan, nan]"
162,N43182313,"[nan, '139.60.108.182', nan, nan, nan, nan, nan, nan, nan, nan]"
163,N43196714,"[nan, '192.190.206.62', nan, nan, nan, nan, nan, nan, nan, nan]"
164,N43269460,"[nan, '192.190.207.109', nan, nan, nan, nan, nan, nan, nan, nan]"
165,N43376785,"[nan, '162.218.47.74', nan, nan, nan, nan, nan, nan, nan, nan]"
166,N43386039,"[nan, '216.249.200.6', nan, nan, nan, nan, nan, nan, nan, nan]"
167,N43422597,"[nan, '216.106.210.66', nan, nan, nan, nan, nan, nan, nan, nan]"
168,N43460708,"[nan, '198.74.28.152', nan, nan, nan, nan, nan, nan, nan, nan]"
169,N43469587,"[nan, '64.33.229.100', nan, nan, nan, nan, nan, nan, nan, nan]"
170,N43505132,"[nan, '66.128.176.144', nan, nan, nan, nan, nan, nan, nan, nan]"
171,N43549146,"[nan, '208.53.211.252', nan, nan, nan, nan, nan, nan, nan, nan]"
172,N43574449,"[nan, '192.69.146.34', nan, nan, nan, nan, nan, nan, nan, nan]"
173,N43577802,"[nan, '216.249.192.34', nan, nan, nan, nan, nan, nan, nan, nan]"
174,N43608247,"[nan, '139.60.110.201', nan, nan, nan, nan, nan, nan, nan, nan]"
175,N43653268,"[nan, '139.60.109.17', nan, nan, nan, nan, nan, nan, nan, nan]"
176,N43660882,"[nan, '192.69.147.28', nan, nan, nan, nan, nan, nan, nan, nan]"
177,N43797837,"[nan, '192.69.144.103', nan, nan, nan, nan, nan, nan, nan, nan]"
178,N43880788,"[nan, '192.190.206.98', nan, nan, nan, nan, nan, nan, nan, nan]"
179,N43912502,"[nan, '139.60.108.117', nan, nan, nan, nan, nan, nan, nan, nan]"
180,N43922440,"[nan, '198.74.31.24', nan, nan, nan, nan, nan, nan, nan, nan]"
181,N43954549,"[nan, '66.128.161.136', nan, nan, nan, nan, nan, nan, nan, nan]"
182,N43991661,"[nan, '162.218.47.249', nan, nan, nan, nan, nan, nan, nan, nan]"
183,N44083937,"[nan, '198.74.28.203', nan, nan, nan, nan, nan, nan, nan, nan]"
184,N44131169,"[nan, '139.60.111.177', nan, nan, nan, nan, nan, nan, nan, nan]"
185,N44255233,"[nan, '192.190.207.9', nan, nan, nan, nan, nan, nan, nan, nan]"
186,N44274210,"[nan, '162.218.46.48', nan, nan, nan, nan, nan, nan, nan, nan]"
187,N44312958,"[nan, '198.74.28.170', nan, nan, nan, nan, nan, nan, nan, nan]"
188,N44338118,"[nan, '198.74.30.118', nan, nan, nan, nan, nan, nan, nan, nan]"
189,N44363700,"[nan, '208.53.210.200', nan, nan, nan, nan, nan, nan, nan, nan]"
190,N44521762,"[nan, '139.60.109.41', nan, nan, nan, nan, nan, nan, nan, nan]"
191,N44568634,"[nan, '139.60.109.36', nan, nan, nan, nan, nan, nan, nan, nan]"
192,N44647695,"[nan, '198.74.31.230', nan, nan, nan, nan, nan, nan, nan, nan]"
193,N44651046,"[nan, '198.74.28.142', nan, nan, nan, nan, nan, nan, nan, nan]"
194,N44653504,"[nan, '216.249.199.196', nan, nan, nan, nan, nan, nan, nan, nan]"
195,N44668080,"[nan, '192.69.147.249', nan, nan, nan, nan, nan, nan, nan, nan]"
196,N44679679,"[nan, '139.60.108.67', nan, nan, nan, nan, nan, nan, nan, nan]"
197,N44711117,"[nan, '198.74.31.195', nan, nan, nan, nan, nan, nan, nan, nan]"
198,N44732150,"[nan, '162.218.46.74', nan, nan, nan, nan, nan, nan, nan, nan]"
199,N44734417,"[nan, '216.249.201.218', nan, nan, nan, nan, nan, nan, nan, nan]"
200,N44738801,"[nan, '162.218.47.75', nan, nan, nan, nan, nan, nan, nan, nan]"
201,N44787094,"[nan, '139.60.111.74', nan, nan, nan, nan, nan, nan, nan, nan]"
202,N44802129,"[nan, '66.128.176.152', nan, nan, nan, nan, nan, nan, nan, nan]"
203,N44867992,"[nan, '198.74.29.21', nan, nan, nan, nan, nan, nan, nan, nan]"
204,N44968406,"[nan, '198.74.29.146', nan, nan, nan, nan, nan, nan, nan, nan]"
205,N44993212,"[nan, '192.69.147.104', nan, nan, nan, nan, nan, nan, nan, nan]"
